56.86, 0.45 ,0.47 ,2697.44 ,StewartBrand_2006_152
74.32, 1.00 ,0.13 ,931.28 ,StewartBrand_2006_153
95.91, 0.96 ,0.31 ,2948.04 ,StewartBrand_2006_154
55.89, 0.70 ,0.27 ,1484.13 ,StewartBrand_2006_155
64.76, 0.52 ,0.89 ,5771.09 ,StewartBrand_2006_156
60.66, 0.75 ,0.12 ,701.00 ,StewartBrand_2006_157
102.11, 1.00 ,0.29 ,2949.79 ,StewartBrand_2006_158
61.71, 0.69 ,0.40 ,2459.93 ,StewartBrand_2006_159
55.88, 0.59 ,0.30 ,1685.05 ,StewartBrand_2006_16
44.08, 0.75 ,0.12 ,509.40 ,StewartBrand_2006_160
83.42, 0.90 ,0.34 ,2843.44 ,StewartBrand_2006_161
59.42, 1.00 ,0.13 ,755.04 ,StewartBrand_2006_162
1.47, 0.02 ,0.53 ,78.20 ,StewartBrand_2006_163
25.25, 0.17 ,0.33 ,831.47 ,StewartBrand_2006_164
134.92, 0.96 ,0.61 ,8184.80 ,StewartBrand_2006_165
56.33, 0.57 ,0.39 ,2180.51 ,StewartBrand_2006_166
24.20, 0.29 ,0.38 ,922.50 ,StewartBrand_2006_167
107.75, 0.56 ,0.13 ,1369.72 ,StewartBrand_2006_168
39.38, 0.45 ,0.64 ,2502.74 ,StewartBrand_2006_169
87.02, 0.98 ,0.52 ,4482.26 ,StewartBrand_2006_17
66.93, 0.59 ,0.50 ,3325.74 ,StewartBrand_2006_170
6.21, 0.07 ,0.61 ,380.54 ,StewartBrand_2006_171
12.28, 0.10 ,0.61 ,752.16 ,StewartBrand_2006_172
77.90, 0.62 ,0.64 ,4995.55 ,StewartBrand_2006_173
18.34, 0.12 ,2.03 ,3730.04 ,StewartBrand_2006_174
14.89, 0.15 ,0.31 ,460.90 ,StewartBrand_2006_175
54.24, 1.00 ,0.12 ,626.48 ,StewartBrand_2006_176
83.87, 0.65 ,0.72 ,6022.25 ,StewartBrand_2006_177
64.96, 0.80 ,0.28 ,1849.86 ,StewartBrand_2006_178
26.98, 0.30 ,0.60 ,1625.76 ,StewartBrand_2006_179
58.77, 0.53 ,0.61 ,3577.79 ,StewartBrand_2006_18
60.16, 0.58 ,0.75 ,4493.00 ,StewartBrand_2006_180
14.37, 0.18 ,0.54 ,776.75 ,StewartBrand_2006_181
13.28, 0.12 ,0.44 ,580.87 ,StewartBrand_2006_182
58.52, 0.43 ,0.40 ,2350.86 ,StewartBrand_2006_183
31.35, 0.25 ,0.15 ,472.41 ,StewartBrand_2006_184
110.92, 1.00 ,0.59 ,6524.98 ,StewartBrand_2006_185
57.62, 0.64 ,0.18 ,1033.50 ,StewartBrand_2006_186
98.27, 0.90 ,0.42 ,4159.42 ,StewartBrand_2006_187
23.51, 0.17 ,0.27 ,623.94 ,StewartBrand_2006_188
102.02, 1.00 ,0.46 ,4683.78 ,StewartBrand_2006_189
58.94, 0.54 ,0.42 ,2493.99 ,StewartBrand_2006_19
87.86, 1.00 ,0.27 ,2332.20 ,StewartBrand_2006_190
13.34, 0.15 ,0.51 ,679.46 ,StewartBrand_2006_191
13.55, 0.17 ,0.10 ,133.17 ,StewartBrand_2006_192
119.28, 1.00 ,0.19 ,2213.38 ,StewartBrand_2006_193
0, 0 ,0.12 ,0 ,StewartBrand_2006_194
69.31, 0.67 ,0.09 ,642.86 ,StewartBrand_2006_195
53.63, 0.39 ,0.27 ,1421.55 ,StewartBrand_2006_196
59.18, 0.55 ,0.65 ,3849.82 ,StewartBrand_2006_197
87.22, 0.50 ,0.47 ,4138.08 ,StewartBrand_2006_198
77.85, 0.81 ,0.20 ,1533.23 ,StewartBrand_2006_199
98.40, 0.70 ,0.33 ,3283.63 ,StewartBrand_2006_2
31.22, 0.17 ,0.45 ,1389.49 ,StewartBrand_2006_20
85.55, 0.57 ,0.76 ,6483.55 ,StewartBrand_2006_200
91.57, 0.81 ,0.62 ,5682.79 ,StewartBrand_2006_201
38.18, 0.50 ,0.39 ,1492.44 ,StewartBrand_2006_202
9.14, 0.11 ,0.21 ,192.42 ,StewartBrand_2006_203
62.33, 0.63 ,0.23 ,1412.64 ,StewartBrand_2006_204
0, 0 ,0.11 ,0 ,StewartBrand_2006_205
18.70, 0.16 ,0.35 ,653.83 ,StewartBrand_2006_206
52.02, 0.55 ,0.98 ,5120.38 ,StewartBrand_2006_207
29.06, 0.37 ,0.39 ,1126.09 ,StewartBrand_2006_208
6.99, 0.08 ,0.15 ,104.96 ,StewartBrand_2006_21
67.31, 0.67 ,0.28 ,1878.41 ,StewartBrand_2006_210
77.25, 1.00 ,0.11 ,879.18 ,StewartBrand_2006_211
91.15, 0.91 ,0.27 ,2430.27 ,StewartBrand_2006_212
84.44, 0.81 ,0.45 ,3812.35 ,StewartBrand_2006_213
72.35, 0.84 ,0.23 ,1651.74 ,StewartBrand_2006_214
47.44, 0.64 ,0.15 ,700.29 ,StewartBrand_2006_215
53.99, 0.75 ,0.11 ,605.74 ,StewartBrand_2006_216
18.44, 0.20 ,0.74 ,1360.67 ,StewartBrand_2006_217
114.71, 1.00 ,0.44 ,5102.40 ,StewartBrand_2006_218
21.11, 0.30 ,0.24 ,505.72 ,StewartBrand_2006_219
139.42, 1.00 ,0.57 ,7954.94 ,StewartBrand_2006_22
61.64, 0.47 ,0.33 ,2048.61 ,StewartBrand_2006_220
90.15, 0.75 ,0.54 ,4891.30 ,StewartBrand_2006_221
